Artist,Birthplace,coordinates,latitude,longitude
Taylor Swift,West Reading,"(40.3337038, -75.9474322)",40.3337038,-75.9474322
XXXTentacion,Plantation,"(27.0637262, -82.3651631)",27.0637262,-82.3651631
Alia Bhatt,India,"(22.3511148, 78.6677428)",22.3511148,78.6677428
Tina Turner,Brownsville,"(25.9024289, -97.4981698)",25.9024289,-97.4981698
Keanu Reeves,Beirut,"(33.8959203, 35.47843)",33.8959203,35.47843
Rihanna,Saint Michael,"(13.1182985, -59.60157828479271)",13.1182985,-59.60157828479271
Bruce Willis,Idar-Oberstein,"(49.7107134, 7.3136563)",49.7107134,7.3136563
Michael Jackson,Gary,"(41.6020962, -87.3370646)",41.6020962,-87.3370646
Ryan Gosling,London,"(51.5074456, -0.1277653)",51.5074456,-0.1277653
Selena Gomez,Grand Prairie,"(32.7459645, -96.9977846)",32.7459645,-96.9977846
Whitney Houston,Newark,"(40.735657, -74.1723667)",40.735657,-74.1723667
Miley Cyrus,Nashville,"(36.1622767, -86.7742984)",36.1622767,-86.7742984
Scarlett Johansson,Manhattan,"(40.7896239, -73.9598939)",40.7896239,-73.9598939
Hannah Waddingham,Wandsworth,"(51.4570271, -0.1932607)",51.4570271,-0.1932607
Eminem,St. Joseph,"(45.5645229, -94.3180516)",45.5645229,-94.3180516
Kanye West,Atlanta,"(33.7489924, -84.3902644)",33.7489924,-84.3902644
Florence Pugh,Oxford,"(51.7520131, -1.2578499)",51.7520131,-1.2578499
Priyanka Chopra,Jamshedpur,"(22.8015194, 86.2029579)",22.8015194,86.2029579
Tupac Shakur,Birthplace not found,"(None, None)",,
Freddie Mercury,Zanzibar City,"(-6.1664908, 39.2074312)",-6.1664908,39.2074312
George Michael,East Finchley,"(51.5871881, -0.1648137)",51.5871881,-0.1648137
Zendaya,Oakland,"(37.8044557, -122.271356)",37.8044557,-122.271356
Johnny Depp,Birthplace not found,"(None, None)",,
Madonna,Bay City,"(43.5944677, -83.8888648)",43.5944677,-83.8888648
Cher,El Centro,"(32.792, -115.563051)",32.792,-115.563051
Adam Sandler,Brooklyn,"(40.6526006, -73.9497211)",40.6526006,-73.9497211
Dua Lipa,Westminster,"(51.5004439, -0.1265398)",51.5004439,-0.1265398
Salma Hayek,Coatzacoalcos,"(18.1396787, -94.4501731)",18.1396787,-94.4501731
Robert Downey Jr.,Manhattan,"(40.7896239, -73.9598939)",40.7896239,-73.9598939
Shaquille O'Neal,Newark,"(40.735657, -74.1723667)",40.735657,-74.1723667
Bradley Cooper,Philadelphia,"(39.9527237, -75.1635262)",39.9527237,-75.1635262
Olivia Rodrigo,Murrieta,"(33.560832, -117.210656)",33.560832,-117.210656
Britney Spears,McComb,"(31.2437872, -90.4531536)",31.2437872,-90.4531536
Mark Wahlberg,Birthplace not found,"(None, None)",,
Shakira,Barranquilla,"(10.9938698, -74.7927177)",10.9938698,-74.7927177
Lady Gaga,Lenox Hill Hospital,"(40.77364275, -73.96086187105126)",40.77364275,-73.96086187105126
David Bowie,Brixton,"(51.4568044, -0.1167959)",51.4568044,-0.1167959
John Cena,Birthplace not found,"(None, None)",,
Salman Khan,Indore,"(22.7203616, 75.8681996)",22.7203616,75.8681996
Elton John,Pinner,"(51.5968712, -0.3770142)",51.5968712,-0.3770142
Raquel Welch,Chicago,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
Jimmy Buffett,Pascagoula,"(30.3646795, -88.5585995)",30.3646795,-88.5585995
BTS,Birthplace not found,"(None, None)",,
The Beatles,Birthplace not found,"(None, None)",,
Austin Butler,Anaheim,"(33.8347516, -117.911732)",33.8347516,-117.911732
Joaquin Phoenix,Río Piedras,"(18.3974229, -66.050111)",18.3974229,-66.050111
Katy Perry,Birthplace not found,"(None, None)",,
Kate Winslet,Reading,"(51.4564242, -0.9700664)",51.4564242,-0.9700664
Billie Eilish,Los Angeles,"(34.0536909, -118.242766)",34.0536909,-118.242766
Ezra Miller,Wyckoff,"(41.0095417, -74.1729222)",41.0095417,-74.1729222
John Travolta,Englewood,"(39.6482059, -104.9879641)",39.6482059,-104.9879641
The Weeknd,Toronto,"(43.6534817, -79.3839347)",43.6534817,-79.3839347
Jennifer Connelly,Cairo,"(30.0443879, 31.2357257)",30.0443879,31.2357257
Lewis Capaldi,Glasgow,"(55.861155, -4.2501687)",55.861155,-4.2501687
Nicole Kidman,Honolulu,"(21.304547, -157.855676)",21.304547,-157.855676
Gwyneth Paltrow,Los Angeles,"(34.0536909, -118.242766)",34.0536909,-118.242766
Ed Sheeran,Halifax,"(44.648618, -63.5859487)",44.648618,-63.5859487
Will Smith,Philadelphia,"(39.9527237, -75.1635262)",39.9527237,-75.1635262
Victoria Beckham,Harlow,"(51.7676194, 0.0974893)",51.7676194,0.0974893
Snoop Dogg,Long Beach,"(33.7690164, -118.191604)",33.7690164,-118.191604
Jackie Chan,Victoria Peak,"(22.2760386, 114.1454573)",22.2760386,114.1454573
Jamie Foxx,Terrell,"(30.1990738, -102.0974881)",30.1990738,-102.0974881
Anne Hathaway,Brooklyn,"(40.6526006, -73.9497211)",40.6526006,-73.9497211
Bad Bunny,Vega Baja,"(18.4445314, -66.387587)",18.4445314,-66.387587
Brie Larson,Sacramento,"(38.5810606, -121.493895)",38.5810606,-121.493895
Daniel Radcliffe,Hammersmith,"(51.4920377, -0.2236401)",51.4920377,-0.2236401
Paris Hilton,New York City,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
Fleetwood Mac,Birthplace not found,"(None, None)",,
Nick Cannon,Birthplace not found,"(None, None)",,
Stevie Nicks,Phoenix,"(33.4484367, -112.074141)",33.4484367,-112.074141
Mariah Carey,Huntington,"(38.4192496, -82.445154)",38.4192496,-82.445154
Russell Brand,Grays,"(51.4780898, 0.3233131)",51.4780898,0.3233131
Europe,Birthplace not found,"(None, None)",,
Bob Marley,Gullegem,"(50.8418565, 3.2045747)",50.8418565,3.2045747
Doja Cat,Birthplace not found,"(None, None)",,
Amy Winehouse,Birthplace not found,"(None, None)",,
Eddie Murphy,Brooklyn,"(40.6526006, -73.9497211)",40.6526006,-73.9497211
Post Malone,Syracuse,"(43.0481221, -76.1474244)",43.0481221,-76.1474244
Nicki Minaj,Saint James,"(43.9824577, -94.6269181)",43.9824577,-94.6269181
Mary Elizabeth Winstead,Rocky Mount,"(35.9423833, -77.7956949)",35.9423833,-77.7956949
Kim Petras,Bonn,"(50.735851, 7.10066)",50.735851,7.10066
Justin Timberlake,Memphis,"(35.1460249, -90.0517638)",35.1460249,-90.0517638
Ozzy Osbourne,Marston Green,"(52.4668809, -1.7550948)",52.4668809,-1.7550948
Shia LaBeouf,Birthplace not found,"(None, None)",,
Zooey Deschanel,Los Angeles,"(34.0536909, -118.242766)",34.0536909,-118.242766
Suzanne Somers,San Bruno,"(37.6248536, -122.4145986)",37.6248536,-122.4145986
Jeff Beck,Birthplace not found,"(None, None)",,
Brenda Song,Carmichael,"(49.9172707, -108.6546946)",49.9172707,-108.6546946
River Phoenix,Birthplace not found,"(None, None)",,
Catherine Zeta-Jones,Swansea,"(51.6195955, -3.9459248)",51.6195955,-3.9459248
Mick Jagger,Dartford,"(51.4443059, 0.21807)",51.4443059,0.21807
Jared Leto,Bossier City,"(32.515887, -93.7336536)",32.515887,-93.7336536
Bob Dylan,Duluth,"(46.7729322, -92.1251218)",46.7729322,-92.1251218
Barbra Streisand,Brooklyn,"(40.6526006, -73.9497211)",40.6526006,-73.9497211
Hailee Steinfeld,Tarzana,"(34.1689262, -118.5365791)",34.1689262,-118.5365791
Adele,Tottenham,"(51.5976955, -0.0672892)",51.5976955,-0.0672892
Niall Horan,Mullingar,"(53.525822, -7.341304)",53.525822,-7.341304
Sam Smith,London,"(51.5074456, -0.1277653)",51.5074456,-0.1277653
Shania Twain,Windsor,"(51.4837886, -0.6040418665032687)",51.4837886,-0.6040418665032687
Phil Collins,Putney Hospital,"(31.59042535, -84.15758867013469)",31.59042535,-84.15758867013469
Hugh Jackman,Sydney,"(-33.8698439, 151.2082848)",-33.8698439,151.2082848
Patrick Swayze,Houston,"(29.7589382, -95.3676974)",29.7589382,-95.3676974
Zayn Malik,Bradford,"(53.7944229, -1.7519186)",53.7944229,-1.7519186
Jack Black,Santa Monica,"(34.0194704, -118.491227)",34.0194704,-118.491227
Julia Louis-Dreyfus,Manhattan,"(40.7896239, -73.9598939)",40.7896239,-73.9598939
Tim Curry,Grappenhall,"(53.3757332, -2.5477824)",53.3757332,-2.5477824
ZoÃ« Kravitz,Birthplace not found,"(None, None)",,
Carrie Fisher,United States of America,"(39.7837304, -100.445882)",39.7837304,-100.445882
Anna Kendrick,Portland,"(45.5202471, -122.674194)",45.5202471,-122.674194
Jay-Z,Birthplace not found,"(None, None)",,
The Notorious B.I.G.,Birthplace not found,"(None, None)",,
Rajinikanth,Bengaluru,"(12.9767936, 77.590082)",12.9767936,77.590082
Amitabh Bachchan,Prayagraj,"(25.4381302, 81.8338005)",25.4381302,81.8338005
