Unnamed: 0,date,top_artists,top_1,top_2,top_3,Introduction
0,2023-01-01,"['David Byrne', 'Miley Cyrus', 'The Pointer Sisters']",David Byrne,Miley Cyrus,The Pointer Sisters,"David Byrne (; born 14 May 1952) is a Scottish-American singer, songwriter, musician, record producer, actor, writer, music theorist, visual artist, and filmmaker. He was a founding member, principal songwriter, lead singer, and guitarist of the American new wave band Talking Heads.
Byrne has released solo recordings and worked with various media including film, photography, opera, fiction, and non-fiction. He has received an Academy Award, a Grammy Award, a Special Tony Award, and a Golden Globe Award, and he is an inductee to the Rock and Roll Hall of Fame as part of Talking Heads."
1,2023-01-02,"['Tanya Tucker', 'The Pointer Sisters', 'Tammy Wynette']",Tanya Tucker,The Pointer Sisters,Tammy Wynette,"Tanya Denise Tucker (born October 10, 1958) is an American country music singer and songwriter who had her first hit, ""Delta Dawn"", in 1972 at the age of 13. During her career Tucker became one of the few child performers to mature into adulthood without losing her audience; she had a streak of top-10 and top-40 hits.
She has had several successful albums, several Country Music Association award nominations, and hit songs including 1973's ""What's Your Mama's Name?"" and ""Blood Red and Goin' Down"", 1975's ""Lizzie and the Rainman"", 1988's ""Strong Enough to Bend"", and 1992's ""Two Sparrows in a Hurricane"". Tucker's 2019 album While I'm Livin' won the Grammy Award for Best Country Album, and ""Bring My Flowers Now"" from that same album won Tucker a shared songwriting Grammy for Best Country Song.
Tucker’s latest album is a 2023 critically acclaimed collaboration with Brandi Carlile called Sweet Western Sound. Tucker was inducted into the Country Music Hall of Fame on October 22, 2023."
2,2023-01-03,"['Whitney Houston', 'Tammy Wynette', 'XXXTentacion']",Whitney Houston,Tammy Wynette,XXXTentacion,"Whitney Elizabeth Houston (August 9, 1963 – February 11, 2012) was an American singer, actress, film producer, and philanthropist. Known as ""the Voice"", she is one of the most awarded entertainers of all time and among the best-selling music artists of all time, with sales of over 220 million records worldwide. Houston is known for her crossover appeal on popular music charts that influenced the breaking down of racial barriers, the recording industry, and popular culture, as well as her powerful, soulful vocal performances, the popularization of using gospel singing techniques in pop music, and film production. In 2023, she was ranked second on Rolling Stone's list of the greatest singers of all time. Houston had 11 number-one singles on the Billboard Hot 100 and is the only artist to have seven consecutive number-one singles on the chart. She also enhanced her popularity by entering the film industry. Her accolades include eight Grammy Awards, 22 American Music Awards, two Emmy Awards, and 30 Guinness World Records. Houston's inductions include the Grammy Hall of Fame (twice), the Rock and Roll Hall of Fame, the Rhythm and Blues Music Hall of Fame, the BET Walk of Fame, the Soul Train Hall of Fame, the Georgia Music Hall of Fame, the New Jersey Hall of Fame, and the National Recording Registry at the Library of Congress.
Houston began singing at New Hope Baptist Church in Newark, New Jersey, as a child and became a background vocalist while in high school. She was one of the first black women to appear on the cover of Seventeen after becoming a teen model in 1981. With the guidance of Arista Records chairman Clive Davis, Houston signed to the label at age 19. Her first two studio albums, Whitney Houston (1985) and Whitney (1987), both peaked at number one on the Billboard 200 and are among the best-selling albums of all time. Hit singles from the albums, including ""How Will I Know"", ""Greatest Love of All"" and ""I Wanna Dance with Somebody (Who Loves Me)"", established her as a catalyst in the acceptance of black female artists on MTV. Her third studio album, I'm Your Baby Tonight (1990), yielded two Billboard Hot 100 number-one singles, the title track and ""All the Man That I Need"". Houston's rendition of ""The Star-Spangled Banner"" at Super Bowl XXV in 1991 received widespread media coverage.
Houston made her acting debut with the romantic thriller film The Bodyguard (1992), which despite its mixed reviews became the tenth highest-grossing film to that date. Its soundtrack won the Grammy Award for Album of the Year and remains the bestselling soundtrack album of all time. It generated multiple hit singles, including ""I Have Nothing"", ""I'm Every Woman"" and ""I Will Always Love You""; the latter won the Grammy Award for Record of the Year, spent a then-record 14 weeks atop the Billboard Hot 100 and became the best-selling single by a woman in music history. Subsequently, she went on to star in the films Waiting to Exhale (1995) and The Preacher's Wife (1996), and she recorded their respective soundtracks; the former scored her last Billboard Hot 100 number-one single, ""Exhale (Shoop Shoop)"", while the latter, produced by Houston herself, became the bestselling gospel album of all time. Houston's first studio album in eight years, My Love Is Your Love (1998), spawned multiple hit singles, including the title track, ""Heartbreak Hotel"", ""It's Not Right but It's Okay"" and the Academy Award-winning Mariah Carey duet ""When You Believe"". As a film producer, she produced hit series such as The Princess Diaries, The Cheetah Girls and multicultural movies such as Cinderella (1997) and Sparkle (2012).
Following the music and film success, she renewed her contract with Arista Records for $100 million in 2001, one of the biggest recording deals of all time. However, her personal problems began to overshadow her music career. Her 2002 studio album, Just Whitney, received mixed reviews, while her drug use and a tumultuous marriage to singer Bobby Brown received widespread media coverage. After divorcing Brown, Houston returned to the top of the Billboard 200 chart with her final studio album, I Look to You (2009). In February 2012, Houston accidentally drowned in a bathtub at the Beverly Hilton hotel in Beverly Hills, with heart disease and cocaine use as contributing factors. News of her death coincided with the 2012 Grammy Awards, which took place the day following her death, was covered prominent internationally along with her memorial service and created a spike in sales of her music. Coverage of Houston's death was ranked as the most memorable entertainment event in television history, according to a study by Sony Electronics and the Nielsen Television Research Company. Her assets amounted to $250 million, earned over a 25-year career. Her life and career were dramatized in the 2022 biopic I Wanna Dance with Somebody."
3,2023-01-04,"['XXXTentacion', 'Whitney Houston', 'Tammy Wynette']",XXXTentacion,Whitney Houston,Tammy Wynette,"Jahseh Dwayne Ricardo Onfroy (January 23, 1998 – June 18, 2018), known professionally as XXXTentacion, (English:  eks-eks-eks-TEN-təss-YOHN Spanish pronunciation: [tentaˈθjon]) was an American rapper and singer-songwriter. Though a controversial figure due to his widely publicized legal troubles, XXXTentacion gained a cult following among his young fanbase during his short career with his depression- and alienation-themed music. Critics and fans often credit him for his musical versatility, with his music exploring emo, trap, trap metal, nu metal, indie rock, lo-fi, hip hop, R&B, and punk rock. He is considered to be a leading figure in the establishment of the emo rap and SoundCloud rap genres, which garnered mainstream attention during the mid-to-late 2010s.
Born in Plantation, Florida, XXXTentacion spent most of his childhood in Lauderhill. He began writing music after being released from a juvenile detention center and soon started his music career on SoundCloud in 2013, employing styles and techniques that were unconventional in rap music such as distortion and heavy guitar-backed instrumentals, drawing inspiration from third-wave emo and grunge. In 2014, he formed the underground collective Members Only and alongside other members of the collective soon became a popular figure in SoundCloud rap, a trap music scene that takes elements of lo-fi music and harsh 808s. XXXTentacion gained mainstream attention with the single ""Look at Me"". His debut album 17 (2017) is certified triple-platinum in the US and reached number two on the Billboard 200. His second album ? (2018) debuted at number one on the Billboard 200 and is certified quintuple-platinum in the US. Its lead single, ""Sad!"", posthumously reached number one on the Billboard Hot 100, and had amassed more than 1.2 billion views on YouTube and 2.1 billion streams on Spotify by February 2024, as well as being certified Diamond by the RIAA in August 2021.
XXXTentacion faced a variety of legal issues throughout his lifetime, most notably the controversy that arose from the battery charges that were levied against him in 2016. His history of legal issues and alleged violence has been described by some as defining his legacy, while others have criticized the media's portrayal of him, arguing that his perceived improvements in character later in life have made his legacy into a tale of the power of second chances and redemption.
On June 18, 2018, XXXTentacion, age 20, was murdered when he was shot near a motorcycle dealership in Deerfield Beach, Florida. The attackers fled the scene in an SUV after stealing his Louis Vuitton bag containing $50,000 in cash. Four suspects were arrested and charged with first-degree murder among other charges. In August 2022, one of the four men pleaded guilty to second-degree murder in exchange for testimony against the other three defendants in their trial. The trial initiated on February 7, 2023. On March 20, 2023, all three were found guilty on all counts. On April 6, 2023, they were sentenced to life imprisonment without the possibility of parole.
XXXTentacion has RIAA-certified sales of 61 million units in the US and BPI-certified sales of over 7 million units in the UK, bringing his total to 68 million certified records sold in the two countries. Since his death, he has won an American Music Award and a BET Hip Hop Award and received 11 Billboard Music Award nominations. Two posthumous albums were released, Skins (2018) and Bad Vibes Forever (2019); the former became his second number-one album on the Billboard 200, while the latter entered the top 5."
4,2023-01-05,"['Shania Twain', 'XXXTentacion', 'Whitney Houston']",Shania Twain,XXXTentacion,Whitney Houston,"Eilleen Regina ""Shania"" Twain  ( eye-LEEN ... shə-NY-ə; née Edwards; born August 28, 1965) is a Canadian singer-songwriter. She has sold over 100 million records, making her one of the best-selling music artists of all time and the best-selling female artist in country music history. Her success garnered her several titles, including the ""Queen of Country Pop"". Billboard named her as the leader of the '90s country-pop crossover stars.
Raised in Timmins, Ontario, Twain pursued singing and songwriting from a young age before signing with Mercury Nashville Records in the early 1990s. Her self-titled debut studio album was a commercial failure upon release in 1993. After collaborating with producer and later husband Robert John ""Mutt"" Lange, she rose to fame with her second studio album, The Woman in Me (1995), which brought her widespread success. It sold over 20 million copies worldwide, spawned eight singles, including ""Any Man of Mine"" and earned her a Grammy Award. Twain's third studio album, Come On Over (1997), is recognized by Guinness World Records as the biggest-selling studio album by a female solo artist. It also became the best-selling country album, best-selling album by a Canadian, and one of the world's best-selling albums of all time, selling over 40 million copies worldwide. Come On Over produced twelve singles, including ""You're Still the One"", ""From This Moment On"", ""That Don't Impress Me Much"" and ""Man! I Feel Like a Woman!"" and earned her four Grammy Awards. Her fourth studio album, Up! (2002), spawned eight singles, including ""I'm Gonna Getcha Good!"", ""Ka-Ching!"" and ""Forever and for Always"", selling over 20 million copies worldwide, also being certified Diamond in the United States.
In 2004, after releasing her Greatest Hits album, which produced three singles including ""Party for Two"", Twain entered a hiatus, revealing years later that diagnoses with Lyme disease and dysphonia led to a severely weakened singing voice. She chronicled her vocal rehabilitation on the OWN miniseries Why Not? with Shania Twain, released her first single in six years in 2011, ""Today Is Your Day"", and published an autobiography, From This Moment On. Twain returned to performing the following year with an exclusive concert residency at The Colosseum at Caesars Palace, Shania: Still the One, which ran until 2014. In 2015, she launched the North American Rock This Country Tour, which was billed as her farewell tour. Twain released her first studio album in 15 years in 2017, Now, and embarked on the Now Tour in 2018. In 2019, she started her second Las Vegas residency, Let's Go! at the Zappos Theater. Her sixth studio album Queen of Me was released in 2023, and she embarked on the Queen of Me Tour in the same year.
Twain has received five Grammy Awards, two World Music Awards, 39 BMI Songwriter Awards, inductions to Canada's Walk of Fame and the Hollywood Walk of Fame, as well as the Canadian Music Hall of Fame and Nashville Songwriters Hall of Fame. According to the RIAA, she is the only female artist in history to have three (consecutive) albums certified Diamond by the RIAA and is the seventh best-selling female artist in the United States. Altogether Twain is ranked as the 10th best-selling artist of the Nielsen SoundScan era. Billboard listed her as the 13th Greatest Music Video Female Solo Artist of all time (42nd overall). According to Billboard Boxscore, she is the highest-grossing female country touring artist with $421.1 million gross from her concert tours."
5,2023-01-06,"['XXXTentacion', 'David Bowie', 'Whitney Houston']",XXXTentacion,David Bowie,Whitney Houston,"Jahseh Dwayne Ricardo Onfroy (January 23, 1998 – June 18, 2018), known professionally as XXXTentacion, (English:  eks-eks-eks-TEN-təss-YOHN Spanish pronunciation: [tentaˈθjon]) was an American rapper and singer-songwriter. Though a controversial figure due to his widely publicized legal troubles, XXXTentacion gained a cult following among his young fanbase during his short career with his depression- and alienation-themed music. Critics and fans often credit him for his musical versatility, with his music exploring emo, trap, trap metal, nu metal, indie rock, lo-fi, hip hop, R&B, and punk rock. He is considered to be a leading figure in the establishment of the emo rap and SoundCloud rap genres, which garnered mainstream attention during the mid-to-late 2010s.
Born in Plantation, Florida, XXXTentacion spent most of his childhood in Lauderhill. He began writing music after being released from a juvenile detention center and soon started his music career on SoundCloud in 2013, employing styles and techniques that were unconventional in rap music such as distortion and heavy guitar-backed instrumentals, drawing inspiration from third-wave emo and grunge. In 2014, he formed the underground collective Members Only and alongside other members of the collective soon became a popular figure in SoundCloud rap, a trap music scene that takes elements of lo-fi music and harsh 808s. XXXTentacion gained mainstream attention with the single ""Look at Me"". His debut album 17 (2017) is certified triple-platinum in the US and reached number two on the Billboard 200. His second album ? (2018) debuted at number one on the Billboard 200 and is certified quintuple-platinum in the US. Its lead single, ""Sad!"", posthumously reached number one on the Billboard Hot 100, and had amassed more than 1.2 billion views on YouTube and 2.1 billion streams on Spotify by February 2024, as well as being certified Diamond by the RIAA in August 2021.
XXXTentacion faced a variety of legal issues throughout his lifetime, most notably the controversy that arose from the battery charges that were levied against him in 2016. His history of legal issues and alleged violence has been described by some as defining his legacy, while others have criticized the media's portrayal of him, arguing that his perceived improvements in character later in life have made his legacy into a tale of the power of second chances and redemption.
On June 18, 2018, XXXTentacion, age 20, was murdered when he was shot near a motorcycle dealership in Deerfield Beach, Florida. The attackers fled the scene in an SUV after stealing his Louis Vuitton bag containing $50,000 in cash. Four suspects were arrested and charged with first-degree murder among other charges. In August 2022, one of the four men pleaded guilty to second-degree murder in exchange for testimony against the other three defendants in their trial. The trial initiated on February 7, 2023. On March 20, 2023, all three were found guilty on all counts. On April 6, 2023, they were sentenced to life imprisonment without the possibility of parole.
XXXTentacion has RIAA-certified sales of 61 million units in the US and BPI-certified sales of over 7 million units in the UK, bringing his total to 68 million certified records sold in the two countries. Since his death, he has won an American Music Award and a BET Hip Hop Award and received 11 Billboard Music Award nominations. Two posthumous albums were released, Skins (2018) and Bad Vibes Forever (2019); the former became his second number-one album on the Billboard 200, while the latter entered the top 5."
6,2023-01-07,"['Rod Stewart', 'Freddie Mercury', 'Jessie J']",Rod Stewart,Freddie Mercury,Jessie J,"Sir Roderick David Stewart  (born 10 January 1945) is a British rock and pop singer and songwriter.  With his distinctive raspy singing voice, Stewart is among the best-selling music artists of all time, having sold more than 120 million records worldwide. He has had 10 number-one albums and 31 top-ten singles in the UK, six of which reached number one. Stewart has had 16 top-ten singles in the US, with four reaching number one on the Billboard Hot 100. He was knighted in the 2016 Birthday Honours for services to music and charity.
Stewart's music career began in 1962 when he took up busking with a harmonica. In 1963, he joined The Dimensions as a harmonica player and vocalist. In 1964, Stewart joined Long John Baldry and the All Stars before moving to the Jeff Beck Group in 1967. Joining Faces in 1969, he also maintained a solo career releasing his debut album that year. Stewart's early albums were a fusion of rock, folk music, soul music, and R&B.  His third album, 1971's Every Picture Tells a Story, was his breakthrough, topping the charts in the UK, US, Canada and Australia, as did its ballad ""Maggie May"". His 1972 follow-up album, Never a Dull Moment, also reached number one in the UK and Australia, while going top three in the US and Canada. Its single, ""You Wear It Well"", topped the chart in the UK and was a moderate hit elsewhere.
After Stewart had a handful more UK top-ten hits, the Faces broke up in 1975. Stewart's next few hit singles were ballads with ""Sailing"", off the 1975 UK and Australian number-one album, Atlantic Crossing, becoming a hit in the UK and the Netherlands (number one), Germany (number four) and other countries, but barely charting in North America. A Night on the Town (1976), his fifth straight chart-topper in the UK, began a three-album run of going number one or top three in the US, Canada, the UK and Australia with each release. That album's ""Tonight's the Night (Gonna Be Alright)"" spent almost two months at number one in the US and Canada, and made the top five in other countries. Foot Loose & Fancy Free (1977) contained the hit ""You're in My Heart (The Final Acclaim)"" as well as the rocker ""Hot Legs"". Blondes Have More Fun (1978) and its disco-tinged ""Da Ya Think I'm Sexy"" both went to number one in Canada, Australia and the US, with ""Da Ya Think I'm Sexy"" also hitting number one in the UK and the top ten in other countries. Stewart's albums regularly hit the upper rungs of the charts in the Netherlands throughout the '70s and in Sweden from 1975 onward.
After a disco and new wave period in the late 1970s and early 1980s, Stewart's music turned to a soft rock/middle-of-the-road style, with most of his albums reaching the top ten in the UK, Germany and Sweden, but faring less well in the US. The single ""Rhythm of My Heart"" was a top five hit in the UK, US and other countries, with its source album, 1991's Vagabond Heart, becoming, at number ten in the US and number two in the UK, his highest-charting album in a decade. In 1993, he collaborated with Bryan Adams and Sting on the power ballad ""All for Love"", which went to number one in many countries. In the early 2000s, he released a series of successful albums interpreting the Great American Songbook. 
In 2008, Billboard magazine ranked him the 17th most successful artist on the ""Billboard Hot 100 All-Time Top Artists"". A Grammy and Brit Award recipient, he was voted at No. 33 in Q Magazine's list of the Top 100 Greatest Singers of all time.  As a solo artist, Stewart was inducted into the US Rock and Roll Hall of Fame in 1994, the UK Music Hall of Fame in 2006, and he was inducted a second time into the US Rock and Roll Hall of Fame in 2012 as a member of Faces."
7,2023-01-08,"['David Bowie', 'Tammy Wynette', 'Kate Hudson']",David Bowie,Tammy Wynette,Kate Hudson,"David Robert Jones (8 January 1947 – 10 January 2016), known professionally as David Bowie ( BOH-ee), was an English singer, songwriter, musician, and actor. He is regarded as one of the most influential musicians of the 20th century. Bowie was acclaimed by critics and musicians, particularly for his innovative work during the 1970s. His career was marked by reinvention and visual presentation, and his music and stagecraft had a significant impact on popular music.
Bowie developed an interest in music from an early age. He studied art, music and design before embarking on a professional career as a musician in 1963. He released a string of unsuccessful singles with local bands and a solo album before achieving his first top-five entry on the UK Singles Chart with ""Space Oddity"" (1969). After a period of experimentation, he re-emerged in 1972 during the glam rock era with the flamboyant and androgynous alter ego Ziggy Stardust. The character was spearheaded by the success of ""Starman"" and album The Rise and Fall of Ziggy Stardust and the Spiders from Mars, which won him widespread popularity. In 1975, Bowie's style shifted towards a sound he characterised as ""plastic soul"", initially alienating many of his UK fans but garnering his first major US crossover success with the number-one single ""Fame"" and the album Young Americans. In 1976, Bowie starred in the cult film The Man Who Fell to Earth and released Station to Station. In 1977, he again changed direction with the electronic-inflected album Low, the first of three collaborations with Brian Eno that came to be known as the Berlin Trilogy. ""Heroes"" (1977) and Lodger (1979) followed; each album reached the UK top five and received lasting critical praise.
After uneven commercial success in the late 1970s, Bowie had three number-one hits: the 1980 single ""Ashes to Ashes"", its album Scary Monsters (and Super Creeps) and ""Under Pressure"" (a 1981 collaboration with Queen). He achieved his greatest commercial success in the 1980s with Let's Dance (1983). Between 1988 and 1992, he fronted the hard rock band Tin Machine before resuming his solo career in 1993. Throughout the 1990s and 2000s, Bowie continued to experiment with musical styles, including industrial and jungle. He also continued acting; his roles included Major Jack Celliers in Merry Christmas, Mr. Lawrence (1983), Jareth the Goblin King in Labyrinth (1986), Phillip Jeffries in Twin Peaks: Fire Walk with Me (1992), Andy Warhol in the biopic Basquiat (1996), and Nikola Tesla in The Prestige (2006), among other film and television appearances and cameos. He stopped touring after 2004 and his last live performance was at a charity event in 2006. He returned from a decade-long recording hiatus in 2013 with The Next Day and remained musically active until his death from liver cancer in 2016. He died two days after both his 69th birthday and the release of his final album, Blackstar.
During his lifetime, his record sales, estimated at over 100 million records worldwide, made him one of the best-selling musicians of all time. Often dubbed the ""chameleon of rock"" due to his constant musical reinventions, he was inducted into the Rock and Roll Hall of Fame in 1996. Rolling Stone ranked him among the greatest artists in history. As of 2022, Bowie was the best-selling vinyl artist of the 21st century."
8,2023-01-09,"['Tammy Wynette', 'Hans Zimmer', 'XXXTentacion']",Tammy Wynette,Hans Zimmer,XXXTentacion,"Tammy Wynette (born Virginia Wynette Pugh; May 5, 1942 – April 6, 1998) was an American country music singer, considered among the genre's most influential and successful artists. Along with Loretta Lynn, Wynette helped bring a woman's perspective to the male-dominated country music field that helped other women find representation in the genre. Her characteristic vocal delivery has been acclaimed by critics, journalists and writers for conveying unique emotion. Twenty of her singles topped the Billboard country chart during her career. Her signature song ""Stand by Your Man"" received both acclaim and criticism for its portrayal of women's loyalty towards their husbands.
Wynette was born and raised near Tremont, a small town in Itawamba County, Mississippi, by her mother, stepfather, and maternal grandparents. During childhood, Wynette picked cotton on her family's farm but also had aspirations of becoming a singer. She performed music through her teen years and married Euple Byrd at age 17. Wynette enrolled in cosmetology school and later appeared on a local country music television program. Wynette then divorced and moved to Nashville, Tennessee, to pursue a country music career in 1965. She soon met her second husband, Don Chapel, and eventually signed with Epic Records. Under the production of Billy Sherrill, her first single, ""Apartment No. 9"", was released in 1966. In 1967, she had her first commercial success with the single ""Your Good Girl's Gonna Go Bad"". In the late sixties, Wynette's career rose further with the number one Billboard country singles ""I Don't Wanna Play House"", ""D-I-V-O-R-C-E"" and the self-penned ""Stand by Your Man"".
As her career entered the 1970s, Wynette was among country music's most popular artists and regularly topped the charts. During the same time, she met and married fellow country artist George Jones. The pair had a recording career together that resulted in several number one country singles and a successful touring act. However, their relationship was tumultuous and they divorced in 1975. Following their separation Wynette returned as a headlining solo performer. She also continued to have singles regularly make the upper reaches of the country charts into the 1980s. During this time, she also acted on several television shows, including Capitol (1986). Wynette had several more high-profile relationships before marrying her final husband, George Richey, in 1978. Several intestinal health problems led to hospitalizations and addictions to prescription pain killers, the latter of which was said to have led to her death in 1998.
Wynette has sold an estimated 30 million records worldwide. She has received two Grammy Awards, three Country Music Association awards, and two Academy of Country Music Awards. Wynette was also among country music's first female performers to have discs certify gold and platinum by the Recording Industry Association of America. Her influence as a country music artist led to several inductions into music associations. This includes inductions into the Country Music Hall of Fame and the Nashville Songwriters Hall of Fame."
9,2023-01-10,"['Anna Kendrick', 'XXXTentacion', 'Tammy Wynette']",Anna Kendrick,XXXTentacion,Tammy Wynette,"Anna Cooke Kendrick (born August 9, 1985) is an American actress. Her first starring role was in the 1998 Broadway musical High Society, for which she earned a nomination for the Tony Award for Best Featured Actress in a Musical. She made her film debut in the musical comedy Camp (2003) and had a supporting role in The Twilight Saga (2008–2011). She achieved wider recognition for the comedy-drama film Up in the Air (2009), which earned her a nomination for the Academy Award for Best Supporting Actress, and for her starring role in the Pitch Perfect film series (2012–2017).
She starred in the comedies Scott Pilgrim vs. the World (2010) and 50/50 (2011), the crime drama End of Watch (2012), the musicals The Last Five Years (2014) and Into the Woods (2014), the thrillers The Accountant (2016) and A Simple Favor (2018), and the fantasy comedy Noelle (2019). She has voiced the lead role in the animated musicals of the Trolls film franchise since 2016. She starred in the short form comedy series Dummy (2020), for which she received a nomination for the Primetime Emmy Award for Outstanding Actress in a Short Form Comedy or Drama Series, and in the romantic comedy series Love Life (2020–2022). She made her directorial debut with the drama Woman of the Hour (2023).
Kendrick sang on soundtracks for some of her films, including the single ""Cups"" in 2012, and at events including the 2013 Kennedy Center Honors, and the 2015 Academy Awards. Her memoir, Scrappy Little Nobody, was published in 2016."
