Artist,Genre
Taylor Swift,Pop
XXXTentacion,Rock
Alia Bhatt,Unspecified
Tina Turner,Rock
Keanu Reeves,Hip Hop
Rihanna,Other
Bruce Willis,Unspecified
Michael Jackson,Jazz and Blues
Ryan Gosling,Rock
Selena Gomez,Rock
Whitney Houston,Pop
Miley Cyrus,Rock
Scarlett Johansson,Pop
Hannah Waddingham,Unspecified
Eminem,Hip Hop
Kanye West,Hip Hop
Florence Pugh,Unspecified
Priyanka Chopra,Pop
Tupac Shakur,Hip Hop
Freddie Mercury,Rock
George Michael,Jazz and Blues
Zendaya,Pop
Johnny Depp,Rock
Madonna,Other
Cher,Rock
Adam Sandler,Unspecified
Dua Lipa,Other
Salma Hayek,Unspecified
Robert Downey Jr.,Jazz and Blues
Shaquille O'Neal,Hip Hop
Bradley Cooper,Unspecified
Olivia Rodrigo,Pop
Britney Spears,Pop
Mark Wahlberg,Hip Hop
Shakira,Rock
Lady Gaga,Pop
David Bowie,Hip Hop
John Cena,Hip Hop
Salman Khan,Unspecified
Elton John,Rock
Raquel Welch,Unspecified
Jimmy Buffett,Pop
BTS,Pop
The Beatles,Rock
Austin Butler,Pop
Joaquin Phoenix,Unspecified
Katy Perry,Rock
Kate Winslet,Unspecified
Billie Eilish,Pop
Ezra Miller,Unspecified
John Travolta,Pop
The Weeknd,Hip Hop
Jennifer Connelly,Other
Lewis Capaldi,Pop
Nicole Kidman,Unspecified
Gwyneth Paltrow,Unspecified
Ed Sheeran,Hip Hop
Will Smith,Hip Hop
Victoria Beckham,Pop
Snoop Dogg,Other
Jackie Chan,Other
Jamie Foxx,Hip Hop
Anne Hathaway,Unspecified
Bad Bunny,Other
Brie Larson,Pop
Daniel Radcliffe,Unspecified
Paris Hilton,Pop
Fleetwood Mac,Jazz and Blues
Nick Cannon,Hip Hop
Stevie Nicks,Rock
Mariah Carey,Hip Hop
Russell Brand,Unspecified
Europe,Rock
Bob Marley,Other
Doja Cat,Hip Hop
Amy Winehouse,Jazz and Blues
Eddie Murphy,Other
Post Malone,Rock
Nicki Minaj,Hip Hop
Mary Elizabeth Winstead,Unspecified
Kim Petras,Pop
Justin Timberlake,Pop
Ozzy Osbourne,Rock
Shia LaBeouf,Other
Zooey Deschanel,Pop
Suzanne Somers,Unspecified
Jeff Beck,Jazz and Blues
Brenda Song,Pop
River Phoenix,Rock
Catherine Zeta-Jones,Unspecified
Mick Jagger,Rock
Jared Leto,Rock
Bob Dylan,Jazz and Blues
Barbra Streisand,Jazz and Blues
Hailee Steinfeld,Pop
Adele,Jazz and Blues
Niall Horan,Pop
Sam Smith,Pop
Shania Twain,Rock
Phil Collins,Rock
Hugh Jackman,Unspecified
Patrick Swayze,Unspecified
Zayn Malik,Pop
Jack Black,Rock
Julia Louis-Dreyfus,Unspecified
Tim Curry,Other
ZoÃ« Kravitz,Unspecified
Carrie Fisher,Unspecified
Anna Kendrick,Pop
Jay-Z,Hip Hop
The Notorious B.I.G.,Hip Hop
Rajinikanth,Unspecified
Amitabh Bachchan,Unspecified
Robert Pattinson,Unspecified
Gwen Stefani,Rock
The Rolling Stones,Rock
Travis Scott,Hip Hop
Zac Efron,Unspecified
Rita Ora,Other
Metallica,Rock
Jesse Plemons,Unspecified
Robbie Williams,Other
Kate Hudson,Unspecified
Cardi B,Hip Hop
Michael Keaton,Unspecified
Dakota Fanning,Unspecified
Mayim Bialik,Unspecified
Matthew Broderick,Unspecified
Kylie Minogue,Other
Awkwafina,Hip Hop
Joe Alwyn,Unspecified
Chicago,Other
Lainey Wilson,Country
Amanda Seyfried,Unspecified
Aaliyah,Rock
Steven Seagal,Country
Avril Lavigne,Rock
Dave Grohl,Rock
Kirsten Dunst,Unspecified
50 Cent,Hip Hop
Sally Field,Unspecified
Jada Pinkett Smith,Hip Hop
Gillian Anderson,Unspecified
Ewan McGregor,Unspecified
Antonio Banderas,Unspecified
Bruce Springsteen,Rock
Lily James,Unspecified
Sean Combs,Hip Hop
Lionel Richie,Pop
Ice Cube,Hip Hop
Andrew Garfield,Other
Angela Bassett,Unspecified
Michelle Pfeiffer,Pop
Russell Crowe,Country
Steve Harvey,Other
Selena,Pop
Kelly Clarkson,Pop
Chris Brown,Hip Hop
R. Kelly,Hip Hop
Lynyrd Skynyrd,Rock
Goldie Hawn,Unspecified
Jimi Hendrix,Rock
Tyler Perry,Other
ABBA,Pop
Bruno Mars,Other
Olivia Newton-John,Pop
Kiefer Sutherland,Unspecified
Jack Antonoff,Pop
Grimes,Other
Avicii,Other
Tracy Chapman,Rock
Yoko Ono,Other
Jane Birkin,Pop
Led Zeppelin,Rock
Rod Stewart,Rock
Joey King,Unspecified
Keke Palmer,Hip Hop
Eric Clapton,Jazz and Blues
N. T. Rama Rao Jr.,Unspecified
Bee Gees,Rock
Joe Pesci,Other
Lizzo,Hip Hop
Kris Kristofferson,Country
Depeche Mode,Rock
Guns N' Roses,Rock
Hayden Panettiere,Unspecified
Amy Adams,Unspecified
Lenny Kravitz,Other
