name,links_from_article
Taylor Swift,50 Cent
Taylor Swift,5 Seconds of Summer
Taylor Swift,A. R. Rahman
Taylor Swift,Adele
Taylor Swift,Aerosmith
Taylor Swift,Alan Jackson
Taylor Swift,Alan Menken
Taylor Swift,Alanis Morissette
Taylor Swift,Alessia Cara
Taylor Swift,Alicia Keys
Taylor Swift,Alison Krauss
Taylor Swift,Amy Winehouse
Taylor Swift,Anastacia
Taylor Swift,Andrew Lloyd Webber
Taylor Swift,Anne Murray
Taylor Swift,Annie Lennox
Taylor Swift,Antonio Banderas
Taylor Swift,Arcade Fire
Taylor Swift,Ashley McBryde
Taylor Swift,Avril Lavigne
Taylor Swift,BTS
Taylor Swift,Backstreet Boys
Taylor Swift,Bad Bunny
Taylor Swift,Barbra Streisand
Taylor Swift,Beck
Taylor Swift,Big Sean
Taylor Swift,Billie Eilish
Taylor Swift,Billy Joel
Taylor Swift,Billy Ray Cyrus
Taylor Swift,Björk
Taylor Swift,Blake Shelton
Taylor Swift,Bo Burnham
Taylor Swift,Bob Dylan
Taylor Swift,Bon Jovi
Taylor Swift,Bonnie Raitt
Taylor Swift,Bono
Taylor Swift,Brad Paisley
Taylor Swift,Britney Spears
Taylor Swift,Bruce Springsteen
Taylor Swift,Bruno Mars
Taylor Swift,Bryan Adams
Taylor Swift,Camila Cabello
Taylor Swift,Cardi B
Taylor Swift,Carly Pearce
Taylor Swift,Carly Rae Jepsen
Taylor Swift,Carly Simon
Taylor Swift,Carrie Underwood
Taylor Swift,Charlie Puth
Taylor Swift,Cher
Taylor Swift,Chris Brown
Taylor Swift,Chris Stapleton
Taylor Swift,Christopher Cross
Taylor Swift,Clint Black
Taylor Swift,Coolio
Taylor Swift,Crystal Gayle
Taylor Swift,Cyndi Lauper
Taylor Swift,Daft Punk
Taylor Swift,David Bowie
Taylor Swift,Demi Lovato
Taylor Swift,Destiny's Child
Taylor Swift,Diane Warren
Taylor Swift,Dire Straits
Taylor Swift,Doja Cat
Taylor Swift,Don Henley
Taylor Swift,Donald Glover
Taylor Swift,Donna Summer
Taylor Swift,Dua Lipa
Taylor Swift,Duran Duran
Taylor Swift,Ed Sheeran
Taylor Swift,Elton John
Taylor Swift,Eminem
Taylor Swift,Emmylou Harris
Taylor Swift,Eric Clapton
Taylor Swift,Eugene Levy
Taylor Swift,Faith Hill
Taylor Swift,Fall Out Boy
Taylor Swift,Finneas O'Connell
Taylor Swift,Fleetwood Mac
Taylor Swift,Garth Brooks
Taylor Swift,George Michael
Taylor Swift,George Strait
Taylor Swift,Gulzar
Taylor Swift,Gwen Stefani
Taylor Swift,H.E.R.
Taylor Swift,Hank Williams Jr.
Taylor Swift,Helen Reddy
Taylor Swift,Hootie & the Blowfish
Taylor Swift,Iggy Azalea
Taylor Swift,Jack Antonoff
Taylor Swift,Jack Harlow
Taylor Swift,James Taylor
Taylor Swift,Janet Jackson
Taylor Swift,Jay-Z
Taylor Swift,Jessie J
Taylor Swift,Joe Alwyn
Taylor Swift,John Denver
Taylor Swift,John Legend
Taylor Swift,John Mayer
Taylor Swift,Jon Batiste
Taylor Swift,Jonas Brothers
Taylor Swift,Joni Mitchell
Taylor Swift,Justin Timberlake
Taylor Swift,Kacey Musgraves
Taylor Swift,Kanye West
Taylor Swift,Katy Perry
Taylor Swift,Keith Urban
Taylor Swift,Kelly Clarkson
Taylor Swift,Kendrick Lamar
Taylor Swift,Kenny Chesney
Taylor Swift,Kesha
Taylor Swift,Kris Kristofferson
Taylor Swift,Kristin Chenoweth
Taylor Swift,Kylie Minogue
Taylor Swift,Lady A
Taylor Swift,Lady Gaga
Taylor Swift,Lainey Wilson
Taylor Swift,Lauryn Hill
Taylor Swift,LeAnn Rimes
Taylor Swift,Lil Nas X
Taylor Swift,Lin-Manuel Miranda
Taylor Swift,Linda Ronstadt
Taylor Swift,Lindsey Stirling
Taylor Swift,Lionel Richie
Taylor Swift,Lizzo
Taylor Swift,Lorde
Taylor Swift,Ludacris
Taylor Swift,Madonna
Taylor Swift,Maren Morris
Taylor Swift,Mariah Carey
Taylor Swift,Mark Ronson
Taylor Swift,Maroon 5
Taylor Swift,Max Martin
Taylor Swift,Melissa Etheridge
Taylor Swift,Merle Haggard
Taylor Swift,Michael Bolton
Taylor Swift,Michael Bublé
Taylor Swift,Michael Jackson
Taylor Swift,Michael McKean
Taylor Swift,Michael Nesmith
Taylor Swift,Mick Jagger
Taylor Swift,Miley Cyrus
Taylor Swift,Miranda Lambert
Taylor Swift,Missy Elliott
Taylor Swift,Mumford & Sons
