name,2023_visits
Taylor Swift,22030018
XXXTentacion,20104479
Alia Bhatt,12669342
Tina Turner,11590403
Keanu Reeves,9916477
Rihanna,9885357
Bruce Willis,9468530
Michael Jackson,9129164
Ryan Gosling,8766941
Selena Gomez,7550367
Whitney Houston,7352289
Miley Cyrus,7316591
Scarlett Johansson,6897719
Hannah Waddingham,6896715
Eminem,6848331
Kanye West,6586442
Florence Pugh,6535920
Priyanka Chopra,6528335
Tupac Shakur,6455491
Freddie Mercury,6269464
George Michael,6158859
Zendaya,6090521
Johnny Depp,6056396
Madonna,6051079
Cher,6010999
Adam Sandler,5966212
Dua Lipa,5609778
Salma Hayek,5476143
Robert Downey Jr.,5384459
Shaquille O'Neal,5368997
Bradley Cooper,5294435
Olivia Rodrigo,5245609
Britney Spears,5206756
Mark Wahlberg,5117199
Shakira,5086038
Lady Gaga,5070719
David Bowie,5062171
John Cena,5020053
Salman Khan,5009823
Elton John,4991683
Raquel Welch,4930049
Jimmy Buffett,4797126
BTS,4765167
The Beatles,4748885
Austin Butler,4735623
Joaquin Phoenix,4731164
Katy Perry,4708972
Kate Winslet,4644136
Billie Eilish,4611937
Ezra Miller,4600558
John Travolta,4564563
The Weeknd,4540685
Jennifer Connelly,4529869
Lewis Capaldi,4512254
Nicole Kidman,4473728
Gwyneth Paltrow,4438075
Ed Sheeran,4420622
Will Smith,4284803
Victoria Beckham,4233309
Snoop Dogg,4223450
Jackie Chan,4213903
Jamie Foxx,4169819
Anne Hathaway,4158972
Bad Bunny,4109837
Brie Larson,4089445
Daniel Radcliffe,4073491
Paris Hilton,3990442
Fleetwood Mac,3975126
Nick Cannon,3964560
Stevie Nicks,3927785
Mariah Carey,3916740
Russell Brand,3913698
Europe,3877870
Bob Marley,3854466
Doja Cat,3818144
Amy Winehouse,3806050
Eddie Murphy,3804706
Post Malone,3798168
Nicki Minaj,3783556
Mary Elizabeth Winstead,3763120
Kim Petras,3754581
Justin Timberlake,3657930
Ozzy Osbourne,3649800
Shia LaBeouf,3644384
Zooey Deschanel,3643554
Suzanne Somers,3636954
Jeff Beck,3633933
Brenda Song,3617830
River Phoenix,3611197
Catherine Zeta-Jones,3544223
Mick Jagger,3535232
Jared Leto,3533577
Bob Dylan,3527201
Barbra Streisand,3523539
Hailee Steinfeld,3511249
Adele,3478780
Niall Horan,3476826
Sam Smith,3474758
Shania Twain,3418841
Phil Collins,3375898
Hugh Jackman,3374390
Patrick Swayze,3372349
Zayn Malik,3369189
Jack Black,3368823
Julia Louis-Dreyfus,3333955
Tim Curry,3309136
Zoë Kravitz,3307427
Carrie Fisher,3295855
Anna Kendrick,3291239
Jay-Z,3281148
The Notorious B.I.G.,3273811
Rajinikanth,3249820
Amitabh Bachchan,3235756
Robert Pattinson,3174899
Gwen Stefani,3166843
The Rolling Stones,3154254
Travis Scott,3150548
Zac Efron,3140559
Rita Ora,3117870
Metallica,3099175
Jesse Plemons,3089637
Robbie Williams,3069288
Kate Hudson,3057075
Cardi B,3044747
Michael Keaton,3039446
Dakota Fanning,2991438
Mayim Bialik,2986616
Matthew Broderick,2980151
Kylie Minogue,2972934
Awkwafina,2952279
Joe Alwyn,2949898
Chicago,2930655
Lainey Wilson,2924554
Amanda Seyfried,2922305
Aaliyah,2916902
Steven Seagal,2908707
Avril Lavigne,2904613
Dave Grohl,2892322
Kirsten Dunst,2862369
50 Cent,2859372
Sally Field,2840774
Jada Pinkett Smith,2822106
Gillian Anderson,2817985
Ewan McGregor,2809847
Antonio Banderas,2808653
Bruce Springsteen,2805749
Lily James,2791732
Sean Combs,2789848
Lionel Richie,2789790
Ice Cube,2761761
Andrew Garfield,2759137
Angela Bassett,2755029
Michelle Pfeiffer,2733334
Russell Crowe,2724889
Steve Harvey,2724863
Selena,2671524
Kelly Clarkson,2663796
Chris Brown,2660175
R. Kelly,2658853
Lynyrd Skynyrd,2648070
Goldie Hawn,2647021
Jimi Hendrix,2645740
Tyler Perry,2633533
ABBA,2630172
Bruno Mars,2621772
Olivia Newton-John,2610626
Kiefer Sutherland,2603640
Jack Antonoff,2601588
Grimes,2598655
Avicii,2593461
Tracy Chapman,2589859
Yoko Ono,2583511
Jane Birkin,2583154
Led Zeppelin,2582345
Rod Stewart,2575248
Joey King,2568514
AC/DC,2565212
Keke Palmer,2551193
Eric Clapton,2550945
N. T. Rama Rao Jr.,2543324
Bee Gees,2543289
Joe Pesci,2521867
Lizzo,2518417
Kris Kristofferson,2504633
Depeche Mode,2496371
Guns N' Roses,2490381
Hayden Panettiere,2489644
Amy Adams,2466412
Lenny Kravitz,2459622
Kristen Bell,2457311
Donald Glover,2453624
David Crosby,2399361
Taron Egerton,2381878
Stevie Wonder,2378668
Dr. Dre,2354143
Ranveer Singh,2347455
Kamal Haasan,2342873
Steven Yeun,2330980
Billy Joel,2313456
Red Hot Chili Peppers,2300040
Whoopi Goldberg,2297647
Janet Jackson,2293336
Seth MacFarlane,2289115
Viggo Mortensen,2280492
Keerthy Suresh,2264293
John Denver,2256225
Zachary Levi,2247418
Jon Bon Jovi,2216229
Linda Ronstadt,2202883
Demi Lovato,2199803
Catherine O'Hara,2198730
Jack Harlow,2146398
KSI,2137753
Alanis Morissette,2134370
Vanessa Paradis,2129616
Chevy Chase,2128862
Megan Thee Stallion,2126179
Bill Cosby,2120985
Kendrick Lamar,2119374
Meghan Trainor,2112174
Don Johnson,2100653
Maya Rudolph,2094767
Allu Arjun,2080944
Jisoo,2035457
Shirley Temple,2032246
Steven Tyler,2031418
Sanjay Dutt,2012921
Tom Petty,2009910
Billy Bob Thornton,2006058
Toni Collette,2001221
Tammy Wynette,1994052
Cat Stevens,1993019
