,date,top_artists,top_1,top_2,top_3
0,2023-01-01,"['David Byrne', 'Miley Cyrus', 'The Pointer Sisters']",David Byrne,Miley Cyrus,The Pointer Sisters
1,2023-01-02,"['Tanya Tucker', 'The Pointer Sisters', 'Tammy Wynette']",Tanya Tucker,The Pointer Sisters,Tammy Wynette
2,2023-01-03,"['Whitney Houston', 'Tammy Wynette', 'XXXTentacion']",Whitney Houston,Tammy Wynette,XXXTentacion
3,2023-01-04,"['XXXTentacion', 'Whitney Houston', 'Tammy Wynette']",XXXTentacion,Whitney Houston,Tammy Wynette
4,2023-01-05,"['Shania Twain', 'XXXTentacion', 'Whitney Houston']",Shania Twain,XXXTentacion,Whitney Houston
5,2023-01-06,"['XXXTentacion', 'David Bowie', 'Whitney Houston']",XXXTentacion,David Bowie,Whitney Houston
6,2023-01-07,"['Rod Stewart', 'Freddie Mercury', 'Jessie J']",Rod Stewart,Freddie Mercury,Jessie J
7,2023-01-08,"['David Bowie', 'Tammy Wynette', 'Kate Hudson']",David Bowie,Tammy Wynette,Kate Hudson
8,2023-01-09,"['Tammy Wynette', 'Hans Zimmer', 'XXXTentacion']",Tammy Wynette,Hans Zimmer,XXXTentacion
9,2023-01-10,"['Anna Kendrick', 'XXXTentacion', 'Tammy Wynette']",Anna Kendrick,XXXTentacion,Tammy Wynette
10,2023-01-11,"['Jeff Beck', 'Eddie Murphy', 'Austin Butler']",Jeff Beck,Eddie Murphy,Austin Butler
11,2023-01-12,"['Jeff Beck', 'The Yardbirds', 'Austin Butler']",Jeff Beck,The Yardbirds,Austin Butler
12,2023-01-13,"['Michael Jackson', 'Jeff Beck', 'Austin Butler']",Michael Jackson,Jeff Beck,Austin Butler
13,2023-01-14,"['Jeff Beck', 'Austin Butler', 'Shakira']",Jeff Beck,Austin Butler,Shakira
14,2023-01-15,"['Shakira', 'Austin Butler', 'Jeff Beck']",Shakira,Austin Butler,Jeff Beck
